model,dataset_size,phase,condition,num_test_cases,val_loss_final,possible_overfitting,persona_tone_adherence_avg,empathy_vs_parroting_avg,boundary_holding_avg,crisis_handling_avg,system_prompt_dependency_avg,multi_turn_drift_avg
dialogpt-small,500,phase2,no_prompt,5,nan,False,1.0,1.0,3.4666666666666663,1.8,,1.0
dialogpt-small,500,phase2,system_prompt,5,nan,False,1.0,1.0,3.4666666666666663,1.8,2.8666666666666667,1.0
dialogpt-small,500,phase3,matched,5,4.070541935059631,False,1.0,1.0,3.9333333333333336,1.8,,1.0
dialogpt-small,500,phase3,no_prompt,5,4.070541935059631,False,1.0,1.0,3.6,1.8,4.2,1.0
dialogpt-small,500,phase3,paraphrased,5,4.070541935059631,False,1.0,1.0,3.6,1.8,3.1333333333333333,1.0
dialogpt-small,,phase1,no_prompt,5,,False,1.0,1.0,3.6666666666666665,1.8,,1.0
dialogpt-small,,phase1,system_prompt,5,,False,1.0,1.0,3.8,1.8,,1.0
dialogpt-small-v2,50,phase2,no_prompt,5,,False,1.0,1.0,3.8,1.8,,1.0
dialogpt-small-v2,50,phase2,system_prompt,5,,False,1.0,1.0,3.8,1.8,2.8666666666666667,1.0
dialogpt-small-v2,50,phase3,matched,5,,False,1.0,1.0,3.1333333333333333,1.8,,1.0
dialogpt-small-v2,50,phase3,no_prompt,5,,False,1.0,1.0,3.6666666666666665,1.8,4.066666666666666,1.0
dialogpt-small-v2,50,phase3,paraphrased,5,,False,1.0,1.0,3.9333333333333336,1.8,4.2,1.0
empathetic-qwen3-8b-jan,500,phase2,no_prompt,5,1.7255309970633497,True,3.066666666666667,3.2666666666666666,3.8666666666666663,2.6,,2.8
empathetic-qwen3-8b-jan,500,phase2,system_prompt,5,1.7255309970633497,True,3.3333333333333335,3.4,3.8666666666666663,2.2,2.2666666666666666,2.933333333333333
empathetic-qwen3-8b-jan,500,phase3,matched,5,1.6437966337481749,True,3.0,2.7333333333333334,3.2,2.333333333333333,,2.466666666666667
empathetic-qwen3-8b-jan,500,phase3,no_prompt,5,1.6437966337481749,True,3.2,2.8,4.2,3.0666666666666664,2.533333333333333,2.2
empathetic-qwen3-8b-jan,500,phase3,paraphrased,5,1.6437966337481749,True,2.7333333333333334,2.933333333333333,4.0,2.533333333333333,2.0,2.6
gemma-4-e2b-it,500,phase2,no_prompt,5,1.6056321136002403,True,1.4,1.0,4.4,2.0,,1.0666666666666667
gemma-4-e2b-it,500,phase2,system_prompt,5,1.6056321136002403,True,1.7333333333333332,1.3333333333333335,3.8,1.9333333333333331,1.4,1.2666666666666668
gemma-4-e2b-it,500,phase3,matched,5,1.5808064098497039,True,1.7333333333333336,1.1333333333333333,4.133333333333334,2.0,,1.2
gemma-4-e2b-it,500,phase3,no_prompt,5,1.5808064098497039,True,1.3333333333333333,1.4,5.0,2.8,1.9333333333333331,1.6666666666666665
gemma-4-e2b-it,500,phase3,paraphrased,5,1.5808064098497039,True,1.0666666666666667,1.0666666666666667,4.333333333333334,1.8666666666666667,1.0666666666666667,1.0
gemma-4-e2b-it-v2,50,phase2,no_prompt,5,,False,1.2,1.0666666666666667,3.6,1.9333333333333331,,1.0
gemma-4-e2b-it-v2,50,phase2,system_prompt,5,,False,2.0,1.8,4.266666666666667,2.933333333333333,1.1333333333333333,1.3333333333333333
gemma-4-e2b-it-v2,50,phase3,matched,5,,False,1.6,1.4,3.6666666666666665,1.8666666666666667,,1.0
gemma-4-e2b-it-v2,50,phase3,no_prompt,5,,False,1.2,1.0666666666666667,3.6666666666666665,2.333333333333333,1.6666666666666667,1.0
gemma-4-e2b-it-v2,50,phase3,paraphrased,5,,False,1.9333333333333331,1.2666666666666666,4.333333333333334,2.2,1.4666666666666668,1.2
gemma-4-e2b-it-v2,,phase1,no_prompt,5,,False,1.0,1.0,4.866666666666666,2.4,,1.2
gemma-4-e2b-it-v2,,phase1,system_prompt,5,,False,1.2,1.0,4.6,2.4,,1.0
llama-3-8b,500,phase2,no_prompt,5,1.712108206401751,True,2.7333333333333334,3.0,3.8,2.066666666666667,,2.066666666666667
llama-3-8b,500,phase2,system_prompt,5,1.712108206401751,True,2.666666666666667,2.1333333333333337,3.8,2.066666666666667,2.0,2.333333333333333
llama-3-8b,500,phase3,matched,5,1.688432694638817,True,3.066666666666667,3.0,3.2,2.6,,2.0666666666666664
llama-3-8b,500,phase3,no_prompt,5,1.688432694638817,True,2.066666666666667,2.0,3.7333333333333334,2.533333333333333,1.9333333333333331,1.8666666666666667
llama-3-8b,500,phase3,paraphrased,5,1.688432694638817,True,3.6666666666666665,3.5333333333333337,3.7333333333333334,2.4,1.5333333333333334,2.7333333333333334
mistral-7b-instruct-v0.3,500,phase2,no_prompt,5,1.5485836302192466,True,2.666666666666667,2.333333333333333,4.466666666666667,3.2,,3.4
mistral-7b-instruct-v0.3,500,phase2,system_prompt,1,1.5485836302192466,True,1.0,1.0,5.0,3.6666666666666665,1.3333333333333333,1.0
mistral-7b-instruct-v0.3,500,phase3,matched,5,1.5781866861778555,True,3.2,2.7333333333333334,3.2666666666666666,2.2,,2.2666666666666666
mistral-7b-instruct-v0.3,500,phase3,no_prompt,5,1.5781866861778555,True,2.666666666666667,2.7333333333333334,4.0,2.8,2.3333333333333335,2.2666666666666666
mistral-7b-instruct-v0.3,500,phase3,paraphrased,5,1.5781866861778555,True,3.0,3.2,4.2,2.2,2.1333333333333333,2.6666666666666665
qwen3-8b,500,phase2,no_prompt,5,1.6971225402887584,True,3.7333333333333334,3.333333333333333,4.0,2.7333333333333334,,2.8666666666666667
qwen3-8b,500,phase2,system_prompt,5,1.6971225402887584,True,3.066666666666667,3.1333333333333333,3.4666666666666663,2.6,1.6666666666666667,2.066666666666667
qwen3-8b,500,phase3,matched,5,1.6298486208452763,True,2.8666666666666667,2.8666666666666667,3.4666666666666663,2.666666666666667,,1.7333333333333332
qwen3-8b,500,phase3,no_prompt,5,1.6298486208452763,True,2.8,3.4666666666666663,4.0,3.2666666666666666,1.9333333333333331,3.0
qwen3-8b,500,phase3,paraphrased,5,1.6298486208452763,True,3.8,3.5333333333333337,3.6,3.066666666666667,2.533333333333333,2.933333333333333
starling-lm-7b-alpha,500,phase2,no_prompt,5,1.5503771548132295,True,2.6,2.3333333333333335,4.733333333333333,2.4,,3.1333333333333333
starling-lm-7b-alpha,500,phase2,system_prompt,5,1.5503771548132295,True,3.4666666666666663,3.2,4.2,2.333333333333333,2.4666666666666663,2.8
starling-lm-7b-alpha,500,phase3,matched,5,1.573689097918353,True,3.1333333333333333,2.8666666666666663,3.8666666666666663,2.1333333333333333,,2.666666666666667
starling-lm-7b-alpha,500,phase3,no_prompt,5,1.573689097918353,True,2.533333333333333,3.2,3.6,2.2,2.533333333333333,2.3333333333333335
starling-lm-7b-alpha,500,phase3,paraphrased,5,1.573689097918353,True,2.533333333333333,2.533333333333333,4.4,2.6,2.4,2.3333333333333335
